City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Ritchie,ZA,89.6,clear sky,-29.038,24.6028,Riverside County Club Kimberley
489,Amapa,BR,82.81,broken clouds,1.0,-52.0,
491,Turaiyur,IN,77.0,haze,11.1667,78.6167,Soorie Garden
497,Tomatlan,MX,79.86,clear sky,19.9333,-105.25,Norma franco
502,Kalabo,ZM,80.71,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
512,Resistencia,AR,86.0,few clouds,-27.4606,-58.9839,Niyat Urban Hotel
513,Funadhoo,MV,82.08,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
515,Peto,MX,78.57,clear sky,20.1333,-88.9167,Hotel D'Rodi&Eve
526,Mackay,AU,75.2,broken clouds,-21.15,149.2,International Lodge Motel
537,Artigas,UY,77.58,clear sky,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
542,Tonantins,BR,80.47,moderate rain,-2.8731,-67.8022,Hotel Rei Davi
547,Port Moresby,PG,75.2,few clouds,-9.4431,147.1797,Lamana Hotel
552,Sembakung,ID,78.8,scattered clouds,3.8167,117.25,
554,Lorengau,PG,80.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
558,Santa Fe,AR,86.0,clear sky,-31.6333,-60.7,Conquistador Hotel
559,Nampula,MZ,78.12,broken clouds,-15.1165,39.2666,Tacab Residencial
561,Sao Jose Da Coroa Grande,BR,84.83,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
563,Itarema,BR,87.28,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
565,Belmonte,BR,87.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
570,Muisne,EC,78.8,light rain,0.6,-80.0333,Quinta Samay
572,Chimbote,PE,75.22,overcast clouds,-9.0853,-78.5783,Hotel Briliá
573,Carutapera,BR,88.23,clear sky,-1.195,-46.02,Lidera
575,Carauari,BR,81.7,overcast clouds,-4.8828,-66.8958,Hotel Fellip
578,Bubaque,GW,78.78,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
579,Manakara,MG,80.69,scattered clouds,-22.1333,48.0167,La Residence Manakara
586,Sola,VU,80.85,overcast clouds,-13.8833,167.55,Leumerus Bungalows
587,Sambava,MG,80.06,light rain,-14.2667,50.1667,Melrose
591,San Rafael,AR,84.11,clear sky,-34.6177,-68.3301,Hotel San Rafael
593,Manicore,BR,85.23,light rain,-5.8092,-61.3003,Hotel Durval
596,Cabo San Lucas,MX,78.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
597,Maciel,AR,82.99,clear sky,-32.4557,-60.8874,Log cabins Oliveros
598,Banda Aceh,ID,77.9,clear sky,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
604,Aketi,CD,82.11,overcast clouds,2.7388,23.7833,
609,Savannah Bight,HN,78.8,clear sky,16.45,-85.85,Villa on Dunbar Rock
610,Singaraja,ID,77.25,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
612,Fare,PF,80.91,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
615,Auki,SB,77.68,moderate rain,-8.7676,160.7034,Auki Motel
616,Necochea,AR,83.44,clear sky,-38.5473,-58.7368,dyd -mar Hotel
617,George Town,MY,84.0,few clouds,5.4112,100.3354,Cititel Penang
618,San Martin,AR,82.4,clear sky,-33.080999999999996,-68.4681,Finca Vivencias
623,Nicoya,CR,87.8,clear sky,10.1483,-85.45200000000001,Guayacan Real
629,Aloleng,PH,78.17,few clouds,16.1307,119.7824,Agno Umbrella Rocks
632,Tacuati,PY,85.19,clear sky,-23.45,-56.5833,
633,Sinnamary,GF,79.47,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
636,Pozo Colorado,PY,85.68,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
645,Karaton,ID,84.0,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
647,Maroua,CM,87.8,dust,10.591,14.3159,Maroua Palace
648,Itaquyry,PY,80.6,broken clouds,-24.9333,-55.2167,Posada Santa Celina
653,Tshikapa,CD,81.91,moderate rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
654,Upata,VE,84.0,broken clouds,8.0086,-62.3989,Posada Villa Nela
658,Grajau,BR,87.33,broken clouds,-5.8194,-46.1386,Hotel Confiança
660,La Macarena,CO,82.62,overcast clouds,2.1837,-73.7849,Casa Hotel Real
663,Saint-Joseph,RE,82.4,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
667,Dolores,AR,80.11,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
668,Bull Savanna,JM,79.32,scattered clouds,17.8868,-77.5902,Big Red's
669,La Gomera,GT,84.2,smoke,14.0833,-91.05,Cede.E.T.V
674,Cartagena,CO,86.0,few clouds,10.3997,-75.5144,Costa Del Sol
675,Balikpapan,ID,76.68,overcast clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
676,Pietermaritzburg,ZA,80.01,broken clouds,-29.6168,30.3928,Redlands Hotel
677,Bridgetown,BB,82.4,broken clouds,13.1,-59.6167,Hilton Barbados Resort
