City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Geraldton,AU,2021-02-02 21:34:10,-28.7667,114.6,73.4,78,40,10.36
68,Rocha,UY,2021-02-02 21:37:18,-34.4833,-54.3333,74.46,80,86,6.42
69,Hithadhoo,MV,2021-02-02 21:37:19,-0.6,73.0833,81.72,72,30,3.49
70,Airai,TL,2021-02-02 21:37:19,-8.9266,125.4092,61.47,100,100,2.06
71,Marawi,PH,2021-02-02 21:37:19,7.9986,124.2928,72.0,92,98,4.0
72,Torbay,CA,2021-02-02 21:37:20,47.6666,-52.7314,28.0,86,90,6.91
73,College,US,2021-02-02 21:36:48,64.8569,-147.8028,-14.01,69,20,4.43
74,Laguna,US,2021-02-02 21:37:20,38.421,-121.4238,57.99,88,90,6.91
75,Labrea,BR,2021-02-02 21:37:20,-7.2586,-64.7981,83.82,77,90,4.05
76,Nikolayevka,RU,2021-02-02 21:37:21,53.1257,47.2041,20.32,96,99,6.4
77,Port Elizabeth,ZA,2021-02-02 21:37:21,-33.918,25.5701,68.0,88,40,3.44
78,Yar-Sale,RU,2021-02-02 21:37:21,66.8333,70.8333,6.03,95,99,6.49
79,Taoudenni,ML,2021-02-02 21:37:22,22.6783,-3.9836,72.14,22,100,11.05
80,The Valley,AI,2021-02-02 21:37:22,18.217,-63.0578,82.4,65,20,14.97
81,Matara,LK,2021-02-02 21:37:22,5.9485,80.5353,74.19,87,24,5.82
82,Port Alfred,ZA,2021-02-02 21:37:23,-33.5906,26.891,66.99,91,8,11.45
83,Provideniya,RU,2021-02-02 21:37:23,64.3833,-173.3,6.69,90,100,18.7
84,Gumdag,TM,2021-02-02 21:37:23,39.2061,54.5906,47.25,62,4,20.49
85,Torbat-E Jam,IR,2021-02-02 21:37:24,35.244,60.6225,40.75,70,3,2.01
86,Namatanai,PG,2021-02-02 21:37:24,-3.6667,152.4333,76.23,88,100,9.35
87,Kaitangata,NZ,2021-02-02 21:37:24,-46.2817,169.8464,66.99,82,97,4.0
88,Aksu,CN,2021-02-02 21:37:25,41.1231,80.2644,23.77,79,0,3.6
89,Anadyr,RU,2021-02-02 21:37:25,64.75,177.4833,12.2,79,75,17.9
90,Bluff,NZ,2021-02-02 21:37:25,-46.6,168.3333,59.92,85,100,12.28
91,Yellowknife,CA,2021-02-02 21:35:01,62.456,-114.3525,-9.99,70,90,13.8
92,Houma,US,2021-02-02 21:37:26,29.5958,-90.7195,60.01,35,1,8.05
93,Nome,US,2021-02-02 21:33:10,64.5011,-165.4064,12.2,62,75,20.71
94,Constitucion,CL,2021-02-02 21:37:27,-35.3333,-72.4167,65.55,67,8,7.76
95,Klaksvik,FO,2021-02-02 21:37:27,62.2266,-6.589,37.4,70,60,16.11
96,Tigil,RU,2021-02-02 21:37:27,57.8,158.6667,-7.37,87,67,7.45
97,Uyovu,TZ,2021-02-02 21:37:28,-3.2833,31.5258,63.9,94,81,3.6
98,Nisia Floresta,BR,2021-02-02 21:37:28,-6.0911,-35.2086,82.4,69,20,14.97
99,Victor Harbor,AU,2021-02-02 21:37:28,-35.5667,138.6167,62.01,71,0,1.01
100,Puerto Ayora,EC,2021-02-02 21:37:29,-0.7393,-90.3518,84.2,70,0,21.85
101,Lima,PE,2021-02-02 21:37:29,-12.0432,-77.0282,77.0,57,0,9.22
102,Verkhnyaya Inta,RU,2021-02-02 21:37:29,65.9811,60.3094,10.33,94,100,12.62
103,Saskylakh,RU,2021-02-02 21:37:29,71.9167,114.0833,-3.86,91,100,13.96
104,Amapa,BR,2021-02-02 21:37:30,1.0,-52.0,74.14,96,98,3.38
