City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Aden,12.7794,45.0367,75.25,68,9,15.88,YE,clear sky
80,Souillac,-20.5167,57.5167,80.6,78,75,4.61,MU,broken clouds
81,Ourem,39.6417,-8.5919,54.0,91,100,6.98,PT,overcast clouds
82,Hermanus,-34.4187,19.2345,75.99,71,0,5.01,ZA,clear sky
83,Lakatoro,-16.0999,167.4164,78.8,79,99,2.08,VU,overcast clouds
84,East London,-33.0153,27.9116,69.8,94,75,9.22,ZA,light rain
85,Paso De Los Toros,-32.8167,-56.5167,77.0,50,20,9.22,UY,few clouds
86,Tiksi,71.6872,128.8694,-17.63,89,100,16.08,RU,overcast clouds
87,Port Hedland,-20.3167,118.5667,78.8,89,27,5.75,AU,scattered clouds
88,Talaya,61.3833,152.75,-25.42,83,99,1.39,RU,overcast clouds
89,Puerto Guzman,0.9703,-76.5858,74.23,85,100,2.13,CO,overcast clouds
90,Kununurra,-15.7667,128.7333,77.0,100,90,4.61,AU,overcast clouds
91,Sambhal,28.5833,78.55,56.64,53,0,8.3,IN,clear sky
92,Dikson,73.5069,80.5464,-31.43,83,4,13.67,RU,clear sky
93,Cape Town,-33.9258,18.4232,75.99,73,20,28.77,ZA,few clouds
94,Igarka,67.4667,86.5833,-27.54,85,100,6.96,RU,overcast clouds
95,Kahului,20.8947,-156.47,64.4,88,40,5.75,US,scattered clouds
96,Port Macquarie,-31.4333,152.9167,64.99,99,72,10.51,AU,broken clouds
97,Gillette,44.2911,-105.5022,24.01,86,90,4.61,US,overcast clouds
98,Barrow,71.2906,-156.7887,-18.4,69,90,12.66,US,mist
99,Werda,-25.2667,23.2833,79.7,59,27,11.45,BW,scattered clouds
100,Katsuura,35.1333,140.3,53.6,40,75,19.57,JP,broken clouds
101,Grants Pass,42.439,-123.3284,34.0,93,90,2.55,US,mist
102,Victoria,22.2855,114.1577,66.99,77,0,6.08,HK,clear sky
103,Avarua,-21.2078,-159.775,75.2,100,40,2.3,CK,scattered clouds
104,Saskylakh,71.9167,114.0833,-27.47,85,100,5.46,RU,overcast clouds
105,Oktyabrskoye,43.0645,44.7417,46.4,76,65,11.18,RU,broken clouds
106,Ostrovnoy,68.0531,39.5131,12.81,92,100,15.1,RU,overcast clouds
107,Launceston,-41.45,147.1667,68.0,88,90,10.36,AU,light rain
108,Albany,42.6001,-73.9662,37.0,63,100,1.99,US,overcast clouds
109,Dapaong,10.8639,0.205,99.64,10,0,3.8,TG,clear sky
110,Thompson,55.7435,-97.8558,-14.8,70,75,10.36,CA,broken clouds
111,Chuy,-33.6971,-53.4616,69.4,65,73,14.56,UY,broken clouds
112,Liyang,29.7057,118.2862,49.01,92,57,2.15,CN,broken clouds
113,Tura,25.5198,90.2201,63.64,48,0,3.51,IN,clear sky
114,Ola,59.5833,151.2833,-3.98,84,99,14.5,RU,overcast clouds
115,Talakan,50.3167,130.3667,-15.16,87,87,3.6,RU,overcast clouds
116,Kathu,7.9178,98.3332,82.4,65,20,10.36,TH,few clouds
117,Nabire,-3.3667,135.4833,75.99,82,100,3.6,ID,light rain
118,Yellowknife,62.456,-114.3525,-38.2,67,20,8.05,CA,few clouds
119,Pyu,18.4833,96.4333,72.61,45,0,1.86,MM,clear sky
120,Yumen,40.2833,97.2,32.52,72,100,20.96,CN,overcast clouds
121,Guerrero Negro,27.9769,-114.0611,61.12,69,0,7.49,MX,clear sky
122,Aykhal,66.0,111.5,-34.17,81,7,3.78,RU,clear sky
123,Tiarei,-17.5333,-149.3333,82.0,65,21,1.99,PF,few clouds
124,Clyde River,70.4692,-68.5914,-20.2,69,75,14.97,CA,broken clouds
125,Axim,4.8699,-2.2405,83.8,75,10,9.64,GH,light rain
126,Waseca,44.0777,-93.5074,5.0,72,90,26.46,US,haze
127,Acapulco,16.8634,-99.8901,82.4,69,75,2.3,MX,broken clouds
128,Bethel,41.3712,-73.414,37.0,93,90,5.75,US,overcast clouds
129,Hays,30.0502,-98.0336,50.0,75,88,8.01,US,overcast clouds
130,Okhotsk,59.3833,143.3,-1.53,85,97,8.99,RU,overcast clouds
131,Broome,42.2506,-75.833,41.0,75,90,12.66,US,overcast clouds
132,Ribeira Grande,38.5167,-28.7,60.8,63,40,20.71,PT,scattered clouds
133,Ust-Maya,60.4167,134.5333,-31.07,83,100,2.46,RU,overcast clouds
134,Ponta Do Sol,32.6667,-17.1,55.99,78,69,1.99,PT,broken clouds
135,Ambon,-3.6954,128.1814,80.6,78,20,4.61,ID,light rain
136,Kuna,43.4918,-116.4201,41.0,81,90,4.61,US,overcast clouds
137,Sao Luis De Montes Belos,-16.525,-50.3722,85.1,63,99,4.83,BR,overcast clouds
138,Sakakah,29.9697,40.2064,59.0,67,20,5.75,SA,few clouds
139,Koslan,63.4564,48.8989,-6.7,90,99,8.08,RU,overcast clouds
140,Aklavik,68.2191,-135.0107,-31.0,68,40,4.61,CA,scattered clouds
141,Hofn,64.2539,-15.2082,32.0,93,90,4.61,IS,light snow
142,Gobabis,-22.45,18.9667,81.88,45,94,8.61,NA,light rain
143,Sao Joao Da Barra,-21.6403,-41.0511,82.4,69,90,4.61,BR,overcast clouds
144,Aktau,43.65,51.2,42.8,93,75,2.24,KZ,mist
145,Nyurba,63.2842,118.3319,-41.66,80,37,2.44,RU,scattered clouds
146,Nouadhibou,20.931,-17.0347,68.0,68,40,17.27,MR,scattered clouds
147,Lata,40.1629,-8.3327,54.0,86,100,1.01,PT,light rain
148,Nanortalik,60.1432,-45.2371,23.25,79,0,0.81,GL,clear sky
149,Alakurtti,66.9672,30.3491,9.36,94,62,5.79,RU,broken clouds
150,Boddam,57.4667,-1.7833,35.6,87,90,17.27,GB,overcast clouds
151,Manado,1.487,124.8455,75.2,100,40,2.8,ID,scattered clouds
152,Severo-Kurilsk,50.6789,156.125,11.57,84,84,6.82,RU,broken clouds
